job_title,job_url,salary,company_name,company_sector,company_logo_url,location,contract_type,remote,publication_date
DATA ENGINEER SENIOR (H/F) EN CDI A PARIS OU NANTES,https://www.welcometothejungle.com/fr/companies/sncf-connect-tech/jobs/data-engineer-h-f-en-cdi-a-paris-ou-nantes_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=684b1837-ffee-4350-9bad-5a163e334c04,Salaire : Non spécifié,SNCF Connect & Tech,"Mobilité, Application mobile, Logiciels, Intelligence artificielle / Machine Learning, Big Data, E-commerce",https://cdn-images.welcometothejungle.com/pQGlgF8IqyZp2MRN6RmPghcAJRdkFrzNwi-XJZTk6YA/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby83NzU5LzE2NTMzOC81NTgzYzczZC02YzgwLTQ3N2YtODU0Yi04NzczMGYyMDVjNzIuanBn,Paris,CDI,Télétravail fréquent,2024-07-01T23:54:17Z
Data Engineer Senior (F/H),https://www.welcometothejungle.com/fr/companies/altea/jobs/data-engineer-senior-f-h_chateauneuf-le-rouge?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=c0490c16-67b2-4c34-8f6b-3efd51d69b18,Salaire : 50K à 60K €,Altea,"Logiciels, IT / Digital, SaaS / Cloud Services",https://cdn-images.welcometothejungle.com/ccgwkeAICsG34sVMwIRH9HowVm01MtXkmitEn1qID-g/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby8yMDQxLzE2NzI4NC82MGMwNmI3MC00Y2YyLTRmNGItYjQ0ZC1iYWU5Y2JiNThlOTkucG5n,Sophia-Antipolis,CDI,Télétravail occasionnel,2024-06-04T13:49:45Z
(Senior) Data Engineer,https://www.welcometothejungle.com/fr/companies/mirakl/jobs/senior-data-engineer-paris-bordeaux_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=111060af-0f36-4715-b7c7-7fd80cac2cb7,Salaire : Non spécifié,Mirakl,"SaaS / Cloud Services, E-commerce",https://cdn-images.welcometothejungle.com/rqahF_bZcr2rQYU26q-CCjfGJLxEKL68hn_Waex4cco/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby85Njc0LzE0ODAwNy81MjgzOGYxZC1lNGI4LTQ3OTktOWVlZS1lODJmODFmODQ2YjgucG5n,Paris,CDI,Télétravail fréquent,2024-06-28T00:21:17Z
Data Engineer Senior,https://www.welcometothejungle.com/fr/companies/jakala/jobs/data-engineer-senior-cdi-paris-ou-caen?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=6696f7e0-63be-4373-8470-85bff272293b,Salaire : Non spécifié,JAKALA,"Digital Marketing / Data Marketing, Big Data, E-commerce",https://cdn-images.welcometothejungle.com/2EJHmfeb6ja3Ueb4Fi2_LJiw_wHHFjZxhI2QU_afvZE/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby81NzgzLzE0NjM1Ni8yNTlkMTNhNS01YzU0LTRmM2UtYmU5Mi1hM2IxYmE0NDI5MmQucG5n,"Paris, , Caen",CDI,Télétravail fréquent,2024-05-27T15:55:53Z
Cloud Data Engineer Senior,https://www.welcometothejungle.com/fr/companies/elevate/jobs/consultant-e-data-engineer-senior-f-h_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=5a3a729f-59a9-4863-a8c1-f723a7d8b77a,Salaire : Non spécifié,Elevate,"Digital Marketing / Data Marketing, IT / Digital, Recrutement",https://cdn-images.welcometothejungle.com/zVVujOL2aiIHj46V7Ru8v4P14_dsI5ODbY-mhpUu7lc/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby84NDEwLzE1ODk4MS9lMWQwYzdlOC00NTAwLTQ4ZTMtYjY3ZC05OWRiMGFjY2U0YTEucG5n,Paris,CDI,Télétravail fréquent,2024-06-25T10:08:17Z
Data Engineer Senior - F/M/X,https://www.welcometothejungle.com/fr/companies/tehtris/jobs/data-engineer-senior-f-m-x_pessac_TEHTR_3exPdwj?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=8340e887-28b0-4edb-ba14-9b489f557df8,Salaire : Non spécifié,TEHTRIS,"Logiciels, Cybersécurité",https://cdn-images.welcometothejungle.com/PBZ6aMiKcyhuRxT8i_RtwP32EWHeXT263syFNX2POjo/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby8yNjgzLzE2MDU2MS8yNTc0NzQ3OC0yOTk0LTRmNDEtOGRhYi01N2E2ODUzNTJhZTcuanBn,Pessac,CDI,Télétravail fréquent,2024-06-25T15:50:41Z
Data engineer Confirmé/Senior - H/F,https://www.welcometothejungle.com/fr/companies/codeworks/jobs/data-engineer_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=d391d73b-e886-4263-b64f-46616a741256,Salaire : 53 à 75 000 €,Codeworks,"Logiciels, IT / Digital",https://cdn-images.welcometothejungle.com/Sc9rrorkTYmdz0-DPHLuQvYG1X81kapeelR3_9xQx4w/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby8wMTk3LzE2ODI2MC9jZjdlMDAwZi1kMmRjLTRkYWYtOGIwYy0xNzU3MjNhZWI1YWQuanBn,Paris,CDI,Télétravail fréquent,2024-06-20T16:03:33Z
Data Engineer AWS Senior (F/H),https://www.welcometothejungle.com/fr/companies/apside/jobs/data-engineer-aws-senior-f-h_la-defense?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=d4c6c8a2-f9a5-4e1f-bd9a-d420de37ff4b,Salaire : Non spécifié,Apside,"SaaS / Cloud Services, Big Data, Cybersécurité",https://cdn-images.welcometothejungle.com/Jy3Gp5bvYbO-cMRkKUKnhOqZnFdpTRwunUtDJvl1rUs/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby84OTIzLzE2OTEwNC9iOTQxZThiMy04MmM2LTRhZDMtYTA3YS05NDdjYjM3OTlhZDAucG5n,La Défense,CDI,Télétravail non autorisé,2024-06-07T22:37:38Z
Data Engineer Senior / IA pour la démocratie,https://www.welcometothejungle.com/fr/companies/make-org/jobs/data-engineer-senior-ia-pour-la-democratie_paris?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=3ae9db2b-d1d2-4f41-8f50-4957c3e56fe0,Salaire : Non spécifié,Make.org,"SocialTech / GreenTech, ONG",https://cdn-images.welcometothejungle.com/qNLKPy1fLTB0vn5ROFx-Ibl6EL9xnpIS-dOf5hmcoa8/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby84MTIwLzE2NTgzMC81ZDdlMmVmOS1lNTIyLTRlNTctYjJiZS04Mjg3NmZkODMwZGYuanBn,Paris,CDI,Télétravail fréquent,2024-06-10T10:18:05Z
Data Engineer Senior - F/M/X,https://www.welcometothejungle.com/fr/companies/tehtris/jobs/data-engineer-senior-f-m-x_pessac_TEHTR_5wGYwVX?q=b5ae05e9c3b698d2dc1e8c91a0c5bb0e&o=e4db2f6e-47fb-4974-9ada-9410960be902,Salaire : Non spécifié,TEHTRIS,"Logiciels, Cybersécurité",https://cdn-images.welcometothejungle.com/PBZ6aMiKcyhuRxT8i_RtwP32EWHeXT263syFNX2POjo/rs:auto:70::/q:85/czM6Ly93dHRqLXByb2R1Y3Rpb24vdXBsb2Fkcy9vcmdhbml6YXRpb24vbG9nby8yNjgzLzE2MDU2MS8yNTc0NzQ3OC0yOTk0LTRmNDEtOGRhYi01N2E2ODUzNTJhZTcuanBn,Pessac,CDI,Télétravail fréquent,2024-06-25T15:52:58Z
